ticket_id,title,description,category,priority,resolution_hint,language,source
TRX-1075,Alerte antivirus malware détecté Problème reproduit sur 2 postes.,Windows Defender a mis en quarantaine un fichier.exe téléchargé. Captures d'écran disponibles.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1
TRX-1238,Ventilateur très bruyant Depuis la dernière mise à jour Windows.,PC surchauffe et throttle en réunion. Aucun changement matériel de mon côté.,hardware,medium,"Nettoyage poussière, paste thermique.",fr,synthetic_tritux_v1
TRX-1039,DNS ne résout pas les sites internes Problème reproduit sur 2 postes.,intranet.tritux.local ne répond pas. Captures d'écran disponibles.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1
TRX-1278,Changement de nom suite mariage Urgent pour une livraison client.,Mettre à jour display name et email. Deadline aujourd'hui 17h.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1
TRX-1358,Règle de redirection suspecte Depuis la dernière mise à jour Windows.,Mails forward auto vers externe. Aucun changement matériel de mon côté.,email,urgent,"Supprimer règle, reset MDP, audit.",fr,synthetic_tritux_v1
TRX-1323,Pièces jointes bloquées En télétravail uniquement.,PDF > 10 Mo refusés à l'envoi. Sur site le problème n'apparaît pas.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1
TRX-1369,Erreur NDR 5.7.1 Problème reproduit sur 2 postes.,Envoi interne refusé avec NDR. Captures d'écran disponibles.,email,medium,Permissions send-as / connector.,fr,synthetic_tritux_v1
TRX-1251,Casque audio crackle En télétravail uniquement.,Bruits parasites sur casque USB. Sur site le problème n'apparaît pas.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1099,Ransomware suspicion fichiers chiffrés Problème reproduit sur 2 postes.,Extensions .locked apparues sur mon dossier Documents. Captures d'écran disponibles.,security,urgent,"Débrancher réseau immédiatement, alerter SOC.",fr,synthetic_tritux_v1
TRX-1272,Droits accès SharePoint manquants Urgent pour une livraison client.,Pas d'accès au site projet Alpha. Deadline aujourd'hui 17h.,account,medium,Ajouter au groupe Azure AD du site.,fr,synthetic_tritux_v1
TRX-1097,Ransomware suspicion fichiers chiffrés Merci de traiter rapidement.,Extensions .locked apparues sur mon dossier Documents. Impact sur mon activité quotidienne.,security,urgent,"Débrancher réseau immédiatement, alerter SOC.",fr,synthetic_tritux_v1
TRX-1154,VS Code extensions manquantes Depuis la dernière mise à jour Windows.,Environnement de dév incomplet après reset poste. Aucun changement matériel de mon côté.,software,low,Réinstaller pack extensions Tritux.,fr,synthetic_tritux_v1
TRX-1178,Navigateur Chrome très lent Depuis la dernière mise à jour Windows.,"Onglets se figent, utilisation CPU élevée. Aucun changement matériel de mon côté.",software,medium,"Désactiver extensions, clear cache.",fr,synthetic_tritux_v1
TRX-1344,Calendrier Teams non synchronisé Urgent pour une livraison client.,RDV Outlook absents de Teams. Deadline aujourd'hui 17h.,email,medium,Repair sync M365 calendar.,fr,synthetic_tritux_v1
TRX-1353,Quota boîte mail saturé En télétravail uniquement.,"Impossible de recevoir, 99 Go utilisés. Sur site le problème n'apparaît pas.",email,medium,Archivage online + purge.,fr,synthetic_tritux_v1
TRX-1262,Compte verrouillé après tentatives Depuis la dernière mise à jour Windows.,"Trop d'échecs de connexion, compte lock. Aucun changement matériel de mon côté.",account,high,Unlock Active Directory / Azure AD.,fr,synthetic_tritux_v1
TRX-1203,Clavier certain touches mortes En télétravail uniquement.,Touches E et R ne répondent plus. Sur site le problème n'apparaît pas.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1
TRX-1254,Mot de passe SSO expiré Urgent pour une livraison client.,"Impossible de se connecter, MDP expiré. Deadline aujourd'hui 17h.",account,high,Reset via self-service ou agent identité.,fr,synthetic_tritux_v1
TRX-1419,Câble réseau coupé open-space - besoin aide,Poste voisin aussi offline. Occurrence #2.,network,medium,Vérifier switch étage.,fr,synthetic_tritux_v1
TRX-1206,Souris sans fil se déconnecte Urgent pour une livraison client.,Dongle Logitech instable. Deadline aujourd'hui 17h.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1
TRX-1371,Erreur NDR 5.7.1 En télétravail uniquement.,Envoi interne refusé avec NDR. Sur site le problème n'apparaît pas.,email,medium,Permissions send-as / connector.,fr,synthetic_tritux_v1
TRX-1406,Imprimante imprime des pages blanches,Toner semble OK mais sorties blanches.,hardware,low,"Tambour/toner, test page.",fr,synthetic_tritux_v1
TRX-1201,Clavier certain touches mortes Problème reproduit sur 2 postes.,Touches E et R ne répondent plus. Captures d'écran disponibles.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1
TRX-1439,Mailing list projet à créer - besoin aide,Créer liste projet-nova@tritux.com. Occurrence #2.,email,low,Créer DL Exchange.,fr,synthetic_tritux_v1
TRX-1179,Navigateur Chrome très lent En télétravail uniquement.,"Onglets se figent, utilisation CPU élevée. Sur site le problème n'apparaît pas.",software,medium,"Désactiver extensions, clear cache.",fr,synthetic_tritux_v1
TRX-1253,Mot de passe SSO expiré Merci de traiter rapidement.,"Impossible de se connecter, MDP expiré. Impact sur mon activité quotidienne.",account,high,Reset via self-service ou agent identité.,fr,synthetic_tritux_v1
TRX-1113,Certificat SSL invalide sur portail En télétravail uniquement.,Navigateur indique certificat non fiable. Sur site le problème n'apparaît pas.,security,high,Vérifier horloge système et certificat serveur.,fr,synthetic_tritux_v1
TRX-1019,Wi-Fi instable au 3ème étage Merci de traiter rapidement.,Le réseau sans fil coupe souvent dans la salle réunion B. Impact sur mon activité quotidienne.,network,medium,"Reset borne AP, vérifier couverture et canaux.",fr,synthetic_tritux_v1
TRX-1329,Signature email à mettre à jour En télétravail uniquement.,Nouvelle signature corporate manquante. Sur site le problème n'apparaît pas.,email,low,Déployer signature centralisée.,fr,synthetic_tritux_v1
TRX-1118,Demande d'audit des accès partage Depuis la dernière mise à jour Windows.,Besoin de revoir qui a accès au dossier RH. Aucun changement matériel de mon côté.,security,medium,Exporter ACL et valider avec Data Owner.,fr,synthetic_tritux_v1
TRX-1333,Boîte partagée inaccessible Problème reproduit sur 2 postes.,support@tritux.com non visible. Captures d'écran disponibles.,email,medium,Droits FullAccess mailbox.,fr,synthetic_tritux_v1
TRX-1307,Profil Windows corrompu Merci de traiter rapidement.,Impossible de charger le profil local. Impact sur mon activité quotidienne.,account,high,"Nouveau profil temporaire, migration data.",fr,synthetic_tritux_v1
TRX-1241,Dock USB-C non détecté Merci de traiter rapidement.,Écrans externes ne s'allument plus via dock. Impact sur mon activité quotidienne.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1420,Câble réseau coupé open-space,Poste voisin aussi offline. Occurrence #3.,network,medium,Vérifier switch étage.,fr,synthetic_tritux_v1
TRX-1435,Écran bleu BSOD intermittent - besoin aide,BSOD DRIVER_IRQL après dock. Occurrence #2.,hardware,high,MAJ chipset/dock drivers.,fr,synthetic_tritux_v1
TRX-1414,Faux positif antivirus,Logiciel métier bloqué à tort.,security,medium,Whitelist contrôlée après analyse.,fr,synthetic_tritux_v1
TRX-1192,Écran secondaire scintille,Moniteur HDMI scintille via dock USB-C.,hardware,low,"Tester câble, port, MAJ GPU.",fr,synthetic_tritux_v1
TRX-1392,Question politique télétravail Urgent pour une livraison client.,Jours autorisés hors site? Deadline aujourd'hui 17h.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1
TRX-1227,Imprimante bureau n'imprime pas En télétravail uniquement.,"Travaux en file d'attente, status offline. Sur site le problème n'apparaît pas.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1
TRX-1027,Impossible d'accéder au partage réseau Problème reproduit sur 2 postes.,"\\tritux-fs01\projets inaccessible, erreur d'accès refusé. Captures d'écran disponibles.",network,medium,Vérifier droits SMB et VPN si hors site.,fr,synthetic_tritux_v1
TRX-1224,Imprimante bureau n'imprime pas Urgent pour une livraison client.,"Travaux en file d'attente, status offline. Deadline aujourd'hui 17h.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1
TRX-1103,Lien suspect dans Teams Merci de traiter rapidement.,Collègue a collé un lien raccourci douteux. Impact sur mon activité quotidienne.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1
TRX-1213,Batterie PC portable se décharge vite Problème reproduit sur 2 postes.,Autonomie < 1h alors que neuve il y a 2 ans. Captures d'écran disponibles.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1
TRX-1025,Impossible d'accéder au partage réseau Merci de traiter rapidement.,"\\tritux-fs01\projets inaccessible, erreur d'accès refusé. Impact sur mon activité quotidienne.",network,medium,Vérifier droits SMB et VPN si hors site.,fr,synthetic_tritux_v1
TRX-1297,Double authentification à configurer Problème reproduit sur 2 postes.,Onboarding: activer MFA obligatoire. Captures d'écran disponibles.,account,medium,Guide enrollment Authenticator.,fr,synthetic_tritux_v1
TRX-1167,OneDrive synchronisation bloquée En télétravail uniquement.,"Icône rouge, fichiers hors ligne non sync. Sur site le problème n'apparaît pas.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1
TRX-1396,Suggestion amélioration helpdesk,Ajouter FAQ visible avant ticket.,other,low,Remonter product owner.,fr,synthetic_tritux_v1
TRX-1418,Câble réseau coupé open-space,Poste voisin aussi offline.,network,medium,Vérifier switch étage.,fr,synthetic_tritux_v1
TRX-1415,Faux positif antivirus - besoin aide,Logiciel métier bloqué à tort. Occurrence #2.,security,medium,Whitelist contrôlée après analyse.,fr,synthetic_tritux_v1
TRX-1105,Lien suspect dans Teams Problème reproduit sur 2 postes.,Collègue a collé un lien raccourci douteux. Captures d'écran disponibles.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1
TRX-1247,Casque audio crackle Merci de traiter rapidement.,Bruits parasites sur casque USB. Impact sur mon activité quotidienne.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1090,MFA ne fonctionne plus,Codes Authenticator incorrects pour la connexion Office.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1
TRX-1398,Suggestion amélioration helpdesk Urgent pour une livraison client.,Ajouter FAQ visible avant ticket. Deadline aujourd'hui 17h.,other,low,Remonter product owner.,fr,synthetic_tritux_v1
TRX-1168,PowerPoint police manquante,Présentation avec polices non installées.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1
TRX-1292,Accès VPN non provisionné Depuis la dernière mise à jour Windows.,Compte ok mais groupe VPN manquant. Aucun changement matériel de mon côté.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1
TRX-1306,Profil Windows corrompu,Impossible de charger le profil local.,account,high,"Nouveau profil temporaire, migration data.",fr,synthetic_tritux_v1
TRX-1048,Proxy bloque certains sites pro,Accès refusé via proxy pour un outil SaaS métier.,network,medium,Demander exception proxy / whitelist.,fr,synthetic_tritux_v1
TRX-1104,Lien suspect dans Teams Urgent pour une livraison client.,Collègue a collé un lien raccourci douteux. Deadline aujourd'hui 17h.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1
TRX-1196,Écran secondaire scintille Depuis la dernière mise à jour Windows.,Moniteur HDMI scintille via dock USB-C. Aucun changement matériel de mon côté.,hardware,low,"Tester câble, port, MAJ GPU.",fr,synthetic_tritux_v1
TRX-1062,Email de phishing suspect reçu Urgent pour une livraison client.,Mail demandant de saisir mon mot de passe SSO via un lien externe. Deadline aujourd'hui 17h.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1
TRX-1121,Outlook ne démarre plus Merci de traiter rapidement.,Outlook plante au lancement avec erreur 0x8004010F. Impact sur mon activité quotidienne.,software,high,"Réparer Office, mode sans échec, nouveau profil.",fr,synthetic_tritux_v1
TRX-1147,Installation Docker Desktop bloquée Problème reproduit sur 2 postes.,"Besoin Docker pour le projet, droits insuffisants. Captures d'écran disponibles.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1
TRX-1146,Installation Docker Desktop bloquée Urgent pour une livraison client.,"Besoin Docker pour le projet, droits insuffisants. Deadline aujourd'hui 17h.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1
TRX-1266,Demande de création compte prestataire Urgent pour une livraison client.,Nouveau prestataire a besoin d'un accès mail. Deadline aujourd'hui 17h.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1352,Quota boîte mail saturé Depuis la dernière mise à jour Windows.,"Impossible de recevoir, 99 Go utilisés. Aucun changement matériel de mon côté.",email,medium,Archivage online + purge.,fr,synthetic_tritux_v1
TRX-1326,Signature email à mettre à jour Urgent pour une livraison client.,Nouvelle signature corporate manquante. Deadline aujourd'hui 17h.,email,low,Déployer signature centralisée.,fr,synthetic_tritux_v1
TRX-1245,Dock USB-C non détecté En télétravail uniquement.,Écrans externes ne s'allument plus via dock. Sur site le problème n'apparaît pas.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1124,Outlook ne démarre plus Depuis la dernière mise à jour Windows.,Outlook plante au lancement avec erreur 0x8004010F. Aucun changement matériel de mon côté.,software,high,"Réparer Office, mode sans échec, nouveau profil.",fr,synthetic_tritux_v1
TRX-1385,Demande inventaire matériel Merci de traiter rapidement.,Liste des assets de mon département. Impact sur mon activité quotidienne.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1
TRX-1378,Réservation salle réunion outil,Comment réserver la salle Innovate?,other,low,Utiliser Outlook room finder.,fr,synthetic_tritux_v1
TRX-1060,Email de phishing suspect reçu,Mail demandant de saisir mon mot de passe SSO via un lien externe.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1
TRX-1131,Excel plante à l'ouverture d'un fichier En télétravail uniquement.,Fichier macro .xlsm provoque un crash Excel. Sur site le problème n'apparaît pas.,software,medium,"Ouvrir sans macro, réparer fichier, MAJ Office.",fr,synthetic_tritux_v1
TRX-1427,Demande accès GitLab - besoin aide,Nouveau développeur sans accès dépôt. Occurrence #2.,account,medium,Ajouter groupe gitlab-devs.,fr,synthetic_tritux_v1
TRX-1084,USB non autorisé bloqué,Clé USB refusée par la politique de sécurité.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1
TRX-1008,VPN se déconnecte toutes les 10 minutes Urgent pour une livraison client.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Deadline aujourd'hui 17h.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1017,Pas d'accès Internet sur le poste En télétravail uniquement.,Plus de navigation web ni ping 8.8.8.8 depuis ce matin. Sur site le problème n'apparaît pas.,network,high,"Vérifier câble/Wi-Fi, DHCP, proxy Tritux.",fr,synthetic_tritux_v1
TRX-1220,PC ne démarre plus Depuis la dernière mise à jour Windows.,"Écran noir au power on, ventilateurs tournent. Aucun changement matériel de mon côté.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1
TRX-1424,Erreur OneNote sync,Bloc-notes ne se synchronise plus. Occurrence #3.,software,low,Repair OneNote / Sign-out.,fr,synthetic_tritux_v1
TRX-1328,Signature email à mettre à jour Depuis la dernière mise à jour Windows.,Nouvelle signature corporate manquante. Aucun changement matériel de mon côté.,email,low,Déployer signature centralisée.,fr,synthetic_tritux_v1
TRX-1403,Reset mot de passe oublié - besoin aide,J'ai oublié mon mot de passe Windows et Office. Occurrence #2.,account,high,Self-service reset SSO.,fr,synthetic_tritux_v1
TRX-1018,Wi-Fi instable au 3ème étage,Le réseau sans fil coupe souvent dans la salle réunion B.,network,medium,"Reset borne AP, vérifier couverture et canaux.",fr,synthetic_tritux_v1
TRX-1284,Désactivation compte collaborateur sorti Urgent pour une livraison client.,Offboarding: désactiver compte demain 18h. Deadline aujourd'hui 17h.,account,high,Checklist offboarding AD/M365.,fr,synthetic_tritux_v1
TRX-1305,Alias email non reçu En télétravail uniquement.,L'alias prenom.nom2 n'arrive pas. Sur site le problème n'apparaît pas.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1
TRX-1319,Pièces jointes bloquées Merci de traiter rapidement.,PDF > 10 Mo refusés à l'envoi. Impact sur mon activité quotidienne.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1
TRX-1293,Accès VPN non provisionné En télétravail uniquement.,Compte ok mais groupe VPN manquant. Sur site le problème n'apparaît pas.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1
TRX-1141,Word affiche document corrompu Problème reproduit sur 2 postes.,Impossible d'ouvrir mon rapport.docx. Captures d'écran disponibles.,software,medium,Récupération Word / versions OneDrive.,fr,synthetic_tritux_v1
TRX-1288,Accès VPN non provisionné,Compte ok mais groupe VPN manquant.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1
TRX-1294,Double authentification à configurer,Onboarding: activer MFA obligatoire.,account,medium,Guide enrollment Authenticator.,fr,synthetic_tritux_v1
TRX-1086,USB non autorisé bloqué Urgent pour une livraison client.,Clé USB refusée par la politique de sécurité. Deadline aujourd'hui 17h.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1
TRX-1335,Boîte partagée inaccessible En télétravail uniquement.,support@tritux.com non visible. Sur site le problème n'apparaît pas.,email,medium,Droits FullAccess mailbox.,fr,synthetic_tritux_v1
TRX-1267,Demande de création compte prestataire Problème reproduit sur 2 postes.,Nouveau prestataire a besoin d'un accès mail. Captures d'écran disponibles.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1383,Réservation salle réunion outil En télétravail uniquement.,Comment réserver la salle Innovate? Sur site le problème n'apparaît pas.,other,low,Utiliser Outlook room finder.,fr,synthetic_tritux_v1
TRX-1030,Latence élevée sur Teams,Appels Teams avec décalage audio important.,network,medium,"Tester bande passante, QoS, fermer VPN split tunnel.",fr,synthetic_tritux_v1
TRX-1115,Demande d'audit des accès partage Merci de traiter rapidement.,Besoin de revoir qui a accès au dossier RH. Impact sur mon activité quotidienne.,security,medium,Exporter ACL et valider avec Data Owner.,fr,synthetic_tritux_v1
TRX-1132,Teams ne rejoint pas les réunions,"Bouton Rejoindre grisé, erreur média.",software,medium,"Clear cache Teams, réinstaller client.",fr,synthetic_tritux_v1
TRX-1230,Webcam intégrée noire Urgent pour une livraison client.,Caméra allumée mais image noire dans Teams. Deadline aujourd'hui 17h.,hardware,medium,"Réinstaller pilote caméra, privacy settings.",fr,synthetic_tritux_v1
TRX-1350,Quota boîte mail saturé Urgent pour une livraison client.,"Impossible de recevoir, 99 Go utilisés. Deadline aujourd'hui 17h.",email,medium,Archivage online + purge.,fr,synthetic_tritux_v1
TRX-1095,MFA ne fonctionne plus En télétravail uniquement.,Codes Authenticator incorrects pour la connexion Office. Sur site le problème n'apparaît pas.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1
TRX-1370,Erreur NDR 5.7.1 Depuis la dernière mise à jour Windows.,Envoi interne refusé avec NDR. Aucun changement matériel de mon côté.,email,medium,Permissions send-as / connector.,fr,synthetic_tritux_v1
TRX-1171,PowerPoint police manquante Problème reproduit sur 2 postes.,Présentation avec polices non installées. Captures d'écran disponibles.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1
TRX-1102,Lien suspect dans Teams,Collègue a collé un lien raccourci douteux.,security,high,"Ne pas ouvrir, signaler au SOC Tritux.",fr,synthetic_tritux_v1
TRX-1399,Suggestion amélioration helpdesk Problème reproduit sur 2 postes.,Ajouter FAQ visible avant ticket. Captures d'écran disponibles.,other,low,Remonter product owner.,fr,synthetic_tritux_v1
TRX-1182,Erreur licence Office 365 Urgent pour une livraison client.,Produit non licencié après changement de poste. Deadline aujourd'hui 17h.,software,high,Réactiver licence via compte Tritux.,fr,synthetic_tritux_v1
TRX-1365,Distribution list non à jour En télétravail uniquement.,Liste all-staff contient anciens employés. Sur site le problème n'apparaît pas.,email,low,Sync HR + nettoyage DL.,fr,synthetic_tritux_v1
TRX-1397,Suggestion amélioration helpdesk Merci de traiter rapidement.,Ajouter FAQ visible avant ticket. Impact sur mon activité quotidienne.,other,low,Remonter product owner.,fr,synthetic_tritux_v1
TRX-1386,Demande inventaire matériel Urgent pour une livraison client.,Liste des assets de mon département. Deadline aujourd'hui 17h.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1
TRX-1382,Réservation salle réunion outil Depuis la dernière mise à jour Windows.,Comment réserver la salle Innovate? Aucun changement matériel de mon côté.,other,low,Utiliser Outlook room finder.,fr,synthetic_tritux_v1
TRX-1342,Calendrier Teams non synchronisé,RDV Outlook absents de Teams.,email,medium,Repair sync M365 calendar.,fr,synthetic_tritux_v1
TRX-1237,Ventilateur très bruyant Problème reproduit sur 2 postes.,PC surchauffe et throttle en réunion. Captures d'écran disponibles.,hardware,medium,"Nettoyage poussière, paste thermique.",fr,synthetic_tritux_v1
TRX-1412,Connexion SSO lente,Login Azure AD prend plus de 2 minutes. Occurrence #3.,account,medium,Vérifier réseau et MFA latency.,fr,synthetic_tritux_v1
TRX-1246,Casque audio crackle,Bruits parasites sur casque USB.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1341,Mails partent en spam chez clients En télétravail uniquement.,Plaintes SPF/DKIM fail. Sur site le problème n'apparaît pas.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1
TRX-1155,VS Code extensions manquantes En télétravail uniquement.,Environnement de dév incomplet après reset poste. Sur site le problème n'apparaît pas.,software,low,Réinstaller pack extensions Tritux.,fr,synthetic_tritux_v1
TRX-1223,Imprimante bureau n'imprime pas Merci de traiter rapidement.,"Travaux en file d'attente, status offline. Impact sur mon activité quotidienne.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1
TRX-1322,Pièces jointes bloquées Depuis la dernière mise à jour Windows.,PDF > 10 Mo refusés à l'envoi. Aucun changement matériel de mon côté.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1
TRX-1067,Compte potentiellement compromis Merci de traiter rapidement.,Connexions inhabituelles depuis l'étranger dans les logs. Impact sur mon activité quotidienne.,security,urgent,"Révoquer sessions, reset MDP, MFA obligatoire.",fr,synthetic_tritux_v1
TRX-1042,Câble RJ45 défectueux poste finance,"Lien ethernet down, LED orange éteinte.",network,low,Remplacer câble et tester port switch.,fr,synthetic_tritux_v1
TRX-1437,Écran bleu BSOD intermittent - besoin aide,BSOD DRIVER_IRQL après dock. Occurrence #4.,hardware,high,MAJ chipset/dock drivers.,fr,synthetic_tritux_v1
TRX-1242,Dock USB-C non détecté Urgent pour une livraison client.,Écrans externes ne s'allument plus via dock. Deadline aujourd'hui 17h.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1243,Dock USB-C non détecté Problème reproduit sur 2 postes.,Écrans externes ne s'allument plus via dock. Captures d'écran disponibles.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1065,Email de phishing suspect reçu En télétravail uniquement.,Mail demandant de saisir mon mot de passe SSO via un lien externe. Sur site le problème n'apparaît pas.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1
TRX-1064,Email de phishing suspect reçu Depuis la dernière mise à jour Windows.,Mail demandant de saisir mon mot de passe SSO via un lien externe. Aucun changement matériel de mon côté.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1
TRX-1372,Demande formation Excel avancé,Souhait formation tableaux croisés.,other,low,Orienter catalogue formation Tritux.,fr,synthetic_tritux_v1
TRX-1248,Casque audio crackle Urgent pour une livraison client.,Bruits parasites sur casque USB. Deadline aujourd'hui 17h.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1043,Câble RJ45 défectueux poste finance Merci de traiter rapidement.,"Lien ethernet down, LED orange éteinte. Impact sur mon activité quotidienne.",network,low,Remplacer câble et tester port switch.,fr,synthetic_tritux_v1
TRX-1367,Erreur NDR 5.7.1 Merci de traiter rapidement.,Envoi interne refusé avec NDR. Impact sur mon activité quotidienne.,email,medium,Permissions send-as / connector.,fr,synthetic_tritux_v1
TRX-1123,Outlook ne démarre plus Problème reproduit sur 2 postes.,Outlook plante au lancement avec erreur 0x8004010F. Captures d'écran disponibles.,software,high,"Réparer Office, mode sans échec, nouveau profil.",fr,synthetic_tritux_v1
TRX-1029,Impossible d'accéder au partage réseau En télétravail uniquement.,"\\tritux-fs01\projets inaccessible, erreur d'accès refusé. Sur site le problème n'apparaît pas.",network,medium,Vérifier droits SMB et VPN si hors site.,fr,synthetic_tritux_v1
TRX-1122,Outlook ne démarre plus Urgent pour une livraison client.,Outlook plante au lancement avec erreur 0x8004010F. Deadline aujourd'hui 17h.,software,high,"Réparer Office, mode sans échec, nouveau profil.",fr,synthetic_tritux_v1
TRX-1157,Adobe Reader ne s'ouvre pas Merci de traiter rapidement.,PDF s'ouvre dans le navigateur uniquement. Impact sur mon activité quotidienne.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1
TRX-1312,Mails n'arrivent plus en réception,"Boîte vide depuis hier, envoi OK.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1
TRX-1289,Accès VPN non provisionné Merci de traiter rapidement.,Compte ok mais groupe VPN manquant. Impact sur mon activité quotidienne.,account,high,Ajouter au groupe VPN-Users.,fr,synthetic_tritux_v1
TRX-1009,VPN se déconnecte toutes les 10 minutes Problème reproduit sur 2 postes.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Captures d'écran disponibles.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1250,Casque audio crackle Depuis la dernière mise à jour Windows.,Bruits parasites sur casque USB. Aucun changement matériel de mon côté.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1165,OneDrive synchronisation bloquée Problème reproduit sur 2 postes.,"Icône rouge, fichiers hors ligne non sync. Captures d'écran disponibles.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1
TRX-1000,Impossible de se connecter au VPN,Erreur 'connexion VPN échouée' depuis le télétravail. Client OpenVPN à jour.,network,high,"Vérifier certificat VPN, DNS et firewall.",fr,synthetic_tritux_v1
TRX-1271,Droits accès SharePoint manquants Merci de traiter rapidement.,Pas d'accès au site projet Alpha. Impact sur mon activité quotidienne.,account,medium,Ajouter au groupe Azure AD du site.,fr,synthetic_tritux_v1
TRX-1082,Demande de droits admin local Depuis la dernière mise à jour Windows.,"Besoin d'installer un outil, UAC bloque l'installation. Aucun changement matériel de mon côté.",security,medium,"Évaluer besoin, déploiement via Intune si validé.",fr,synthetic_tritux_v1
TRX-1191,Zoom / Teams conflit audio En télétravail uniquement.,Micro non détecté pendant réunion. Sur site le problème n'apparaît pas.,software,medium,Permissions Windows privacy + périphérique défaut.,fr,synthetic_tritux_v1
TRX-1304,Alias email non reçu Depuis la dernière mise à jour Windows.,L'alias prenom.nom2 n'arrive pas. Aucun changement matériel de mon côté.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1
TRX-1416,Faux positif antivirus,Logiciel métier bloqué à tort. Occurrence #3.,security,medium,Whitelist contrôlée après analyse.,fr,synthetic_tritux_v1
